DataRotation: 92 0 16
RootCenter: 315.6 117.3 -130.8
DataDimension: 682 406 130
Id X Y Z T Precursors Lineage CellFile Layer DivType
165 330.011 178.056 67 319 "{4,101,143,162,164}" 4 -1 5 2
166 316.024 178.722 65 254 "{4,101,143,162,164}" 4 -1 5 -
166 312.028 179.388 65 325 "{4,101,143,162,164}" 4 -1 5 2
167 334.673 181.386 64 320 "{4,101,143,162,164,165}" 4 -1 5 -
167 334.007 189.378 61 350 "{4,101,143,162,164,165}" 4 -1 5 -
168 326.015 174.06 69 320 "{4,101,143,162,164,165}" 4 -1 5 -
168 326.015 176.724 69 350 "{4,101,143,162,164,165}" 4 -1 5 -
169 312.694 184.05 62 326 "{4,101,143,162,164,166}" 4 -1 5 -
169 312.694 189.378 60 350 "{4,101,143,162,164,166}" 4 -1 5 -
170 308.698 175.392 68 326 "{4,101,143,162,164,166}" 4 -1 5 -
170 310.03 182.718 68 350 "{4,101,143,162,164,166}" 4 -1 5 -
171 368.64 128.771 61 205 "{4,101,143,161}" 4 -1 2 -
171 369.972 142.091 62 289 "{4,101,143,161}" 4 -1 2 1
172 349.325 136.763 61 205 "{4,101,143,161}" 4 -1 2 -
172 349.325 152.082 64 272 "{4,101,143,161}" 4 -1 2 1
173 345.995 145.421 64 273 "{4,101,143,161,172}" 4 -1 6 -
173 338.669 144.089 63 350 "{4,101,143,161,172}" 4 -1 6 -
174 355.319 158.742 64 273 "{4,101,143,161,172}" 4 -1 5 -
174 349.325 167.4 59 350 "{4,101,143,161,172}" 4 -1 5 -
175 367.974 134.099 62 290 "{4,101,143,161,171}" 4 -1 6 -
175 364.644 134.099 60 350 "{4,101,143,161,171}" 4 -1 6 -
176 373.302 148.751 62 290 "{4,101,143,161,171}" 4 -1 5 -
176 372.636 152.082 60 350 "{4,101,143,161,171}" 4 -1 5 -
177 282.058 167.4 61 320 "{4,102,103,121,135}" 4 -1 6 -
177 280.726 166.734 59 350 "{4,102,103,121,135}" 4 -1 6 -
178 286.72 183.384 61 320 "{4,102,103,121,135}" 4 -1 5 -
178 292.048 187.38 59 350 "{4,102,103,121,135}" 4 -1 5 -
179 377.298 177.39 59 239 "{4,101,144,145,157}" 4 -1 3 -
179 372.636 186.714 52 341 "{4,101,144,145,157}" 4 -1 3 2
180 359.981 190.044 61 239 "{4,101,144,145,157}" 4 -1 3 -
180 361.979 203.365 61 342 "{4,101,144,145,157}" 4 -1 3 2
181 355.319 204.697 59 343 "{4,101,144,145,157,180}" 4 -1 3 -
181 355.985 206.695 56 350 "{4,101,144,145,157,180}" 4 -1 3 -
182 370.638 205.363 65 343 "{4,101,144,145,157,180}" 4 -1 3 -
182 372.636 204.031 67 350 "{4,101,144,145,157,180}" 4 -1 3 -
183 363.978 188.046 49 342 "{4,101,144,145,157,179}" 4 -1 3 -
183 359.981 187.38 44 350 "{4,101,144,145,157,179}" 4 -1 3 -
184 379.296 190.044 56 342 "{4,101,144,145,157,179}" 4 -1 3 -
184 382.626 190.71 58 350 "{4,101,144,145,157,179}" 4 -1 3 -
185 472.538 98.1343 43 29 {3} 3 -1 0 -
185 521.157 78.8198 48 87 {3} 3 -1 0 0
186 441.901 111.455 43 29 {3} 3 -1 0 -
186 413.929 124.775 51 96 {3} 3 -1 0 1
